timeStep pedestrianId x-PID4 y-PID4
51 3 12.158959970931264 93.19647300446425
52 1 20.209752027344983 74.02036697796301
52 2 12.499759967735908 84.16639781450824
52 3 15.066237295059256 93.29337802041688
53 1 17.349069967383773 73.74307656700607
53 2 10.938611968310118 83.90150564503996
53 3 18.067996746293343 93.38460603421011
54 1 15.559630687713128 71.56196613672866
54 2 9.37510521523311 83.63609218254416
54 3 21.1167836376849 93.43101369676387
55 1 15.4846761658316 68.50566343534392
55 2 7.795324103922238 83.52963684750253
55 3 22.885866187436566 93.47974830906989
56 1 16.419220082943543 65.78252444828088
56 2 6.220982063859532 83.51466610458948
56 3 22.745116748904245 90.77251948590997
57 1 18.57400128357919 63.541724455041134
57 2 4.980345235448753 83.19846181308507
57 3 22.507967233843758 87.90276034767332
58 1 20.387069592059916 61.72347560118395
58 2 4.54883203139765 82.70662863729744
58 3 21.06607134325036 85.66130757005358
59 1 20.489327265344006 58.748459031043154
59 2 4.787102149920766 81.99181747236602
59 3 18.03187308876069 85.10414651688163
60 1 19.804529021551097 55.891173910039576
60 2 5.746054945282985 81.50283459115346
60 3 14.949436599987068 84.58140307362463
61 1 18.07338861586485 53.59273541065396
61 2 7.07823047276982 81.44687552837712
61 3 11.838879162284723 84.0538309886859
62 1 15.246675309020938 52.76371136136874
62 2 8.491194703781085 81.44254190046092
62 3 8.706053566689569 83.54365262913959
63 1 12.159745545284485 52.78359335049666
63 2 9.958000741668302 81.44744385895787
63 3 5.67670118653924 83.46756031113044
64 1 9.162699364057463 52.93945999026035
64 2 11.462600045678235 81.44827051920312
64 3 4.517520350656898 82.37219161933605
65 1 7.521313885099411 55.261807374018694
65 2 12.993454071546521 81.44896351990907
65 3 6.748750302129299 81.44729582374757
66 1 7.091336532417365 58.32037744486784
66 2 14.542625280993834 81.44976134662852
66 3 9.658759372959757 81.46524349811419
67 1 6.661561378483202 61.39073247164747
67 2 16.104575924050373 81.45068170559462
67 3 12.661163410492563 81.44880822123267
68 1 6.2307634629697715 64.46914175174322
68 2 17.675442410506154 81.45176379037466
68 3 15.701536120770923 81.45063005768378
68 4 1.3154365923824238 92.62088199023577
69 1 5.798784218233059 67.5531047966194
69 2 19.25252919380885 81.45314936692154
69 3 17.56955004837296 81.46254913936468
69 4 2.458554228493005 92.66998323736259
70 1 5.527472151573697 70.65462350575707
70 2 20.833955635048024 81.45466649041215
70 3 19.1036144937898 81.45284862167046
70 4 4.090641041977928 92.74009185192487
71 1 5.497350550766381 73.54390264202793
71 2 22.41840925188975 81.45674647709129
71 3 20.646922421986762 81.45440092940031
71 4 6.063871780943112 92.82481813406523
72 1 4.219640216640139 74.44349382785006
72 2 24.004974092188583 81.4595976495814
72 3 22.207402885792323 81.45638167935334
72 4 8.275108268909834 92.91979618342845
73 1 3.446871740178978 72.21580789751596
73 2 25.59300933734465 81.46392970386114
73 3 23.781631179644016 81.45907241303256
73 4 10.652392658873941 93.021998149877
74 1 3.447040861298388 69.37033421469523
74 2 27.172193399362747 81.48522808250202
74 3 25.381412836783287 81.40581031962279
74 4 13.1455128486573 93.12951587683631
75 1 3.448091228154293 66.43972018872935
75 2 28.64176856374084 81.50026011771736
75 3 26.857119439801544 81.48760454162466
75 4 15.719384709114376 93.24221339074126
76 1 3.4494794362855834 63.449691570765346
76 2 30.01602953637878 82.08339947292298
76 3 28.298500001920765 81.5053607156196
76 4 18.34940994487087 93.36250442850125
77 1 3.4513085013769484 60.41821093800061
77 2 31.136823863931127 83.15638044993432
77 3 29.73116474176553 81.91442089751976
77 4 21.021022705310905 93.41088989211362
78 1 3.4538905118601124 57.357810597786994
78 2 32.06749810795463 84.44207578400079
78 3 30.979152019479837 82.97507963611855
78 4 22.593122863696646 93.7408053303737
79 1 3.4580535143389075 54.27723517220939
79 2 32.98452882656426 85.73957465553082
79 3 31.94706549933448 84.26460687680027
79 4 22.981448714368845 91.80360202855606
80 1 3.4686384747403594 51.18289960127464
80 2 33.902051461064886 87.03768505498714
80 3 32.86282036036903 85.55844858438975
80 4 22.526494369184736 89.29727501518511
81 1 3.685085316723629 48.16652482386442
81 2 34.819983987181395 88.33617495693052
81 3 33.77905180099279 86.85290585815423
81 4 22.181336139496338 86.84337546360089
82 1 5.925924954600722 46.48523721873273
82 2 35.73826109401605 89.63488818260019
82 3 34.69669812074727 88.14950348861633
82 4 20.27167159325538 85.49143462518481
83 1 9.003837587143332 46.45821444909833
83 2 36.65657023887899 90.93390452513832
83 3 35.61496930949761 89.44747172474082
83 4 17.674310758937814 85.04372638150264
84 1 12.098227141830069 46.4507724280439
84 2 37.57173382536969 92.23536036587312
84 3 36.53347251331623 90.74616294099033
84 4 15.037719989179239 84.59661142668367
85 1 15.203520539433594 46.46084815138801
85 2 38.246925583086835 93.59033114491153
85 3 37.45446501410321 91.96980801569107
85 4 12.374681270097893 84.14488613730207
86 1 18.310913003104677 46.46049621957118
86 2 39.07784344265114 94.6489832039528
86 3 38.06491019403408 93.21198405878998
86 4 9.693185756185272 83.68997204914812
87 1 21.427543508970164 46.46295923650018
87 2 40.49114727766649 94.85719674638264
87 3 38.621322194776184 94.29483600012334
87 4 6.997655403965739 83.50134357801572
88 1 24.543128212803847 46.534761380741664
88 2 41.70407971676501 94.07401044362386
88 3 39.93374262733205 94.881256181064
88 4 4.824439384498014 83.03883470701297
89 1 27.381430303091058 47.454095031105
89 2 42.274451906267856 92.63042889073124
89 3 41.34608259841587 94.43139360826149
89 4 4.909239030111776 81.87528396630022
90 1 29.465667303425935 49.6579205020949
90 2 42.626271309465615 91.10067734397643
90 3 42.206878134276835 92.90130091540661
90 4 7.086341775137857 81.44927817578967
90 5 2.4918284151611925 91.59284561195115
91 1 31.16846125257447 52.27602807449058
91 2 42.978353293238 89.56423803785272
91 3 42.58041442020906 91.33945719126008
91 4 9.589063391270695 81.45225520214863
91 5 4.485485737819876 91.78877612834022
92 1 32.87186580112914 54.89518204621293
92 2 43.33088289043172 88.02319288571171
92 3 42.92798727994252 89.78408520834014
92 4 12.170250119747147 81.45674590905185
92 5 7.331930575463337 92.06852365016164
93 1 34.572850045922706 57.51684256127076
93 2 43.68379885929982 86.4789623943682
93 3 43.28022987415446 88.24436130965766
93 4 14.80508160329423 81.44716171357665
93 5 10.773344446497356 92.40675576843743
94 1 36.15153725902243 59.82896950483544
94 2 44.03613397647082 84.93229829256133
94 3 43.63290647180681 86.70177551777637
94 4 17.479839088876723 81.45161228878754
94 5 14.629852216819069 92.78580996862543
95 1 38.988952049517835 60.677748595154824
95 2 44.387334677035895 83.38377742390803
95 3 43.984972351012985 85.1564701760157
95 4 20.181289567534506 81.45395709054918
95 5 18.775814498808906 93.19482982226818
96 1 42.11091984660838 60.67774859516185
96 2 44.73397307485026 81.83321311375575
96 3 44.33599497692579 83.61114555516193
96 4 22.90135643798999 81.45751299360042
96 5 22.49197048818677 93.76702006007166
97 1 45.234451650123766 60.67774859516205
97 2 45.04158898732348 80.27766293874217
97 3 44.65359272663427 82.07552759489202
97 4 25.634713899608986 81.46526446442451
97 5 22.608980921670597 90.15753762784294
98 1 48.3590746238982 60.677748595161866
98 2 45.04343000312431 78.68773277227083
98 3 45.03119021687793 80.54311339148653
98 4 28.361910602640243 81.485654907305
98 5 21.734196095628626 86.1765439980822
99 1 49.07252127333982 60.677748595161866
99 2 45.04113538720734 77.09733298063537
99 3 45.04374710645931 78.91361502672814
99 4 30.63809151545015 82.61577082347847
99 5 17.551167980094206 85.0233153149813
100 2 45.037616428754 75.50660975348065
100 3 45.04222096874724 77.32266107109825
100 4 32.30131296577194 84.77698048111611
100 5 12.982205371077628 84.24826031502958
101 2 45.03299412086414 73.91560593864908
101 3 45.03223065142743 75.7465435235527
101 4 33.88645728968366 87.0187340040529
101 5 8.394758829972435 83.66374734399835
102 2 45.02346545126366 72.32533598553441
102 3 45.03405176064287 74.15444019087263
102 4 35.474923011724755 89.26460604540142
102 5 4.670695911343764 82.85211697334547
103 2 45.01146095425672 70.88244873930044
103 3 45.02617604314128 72.64221872348755
103 4 37.065051811344205 91.5138137593248
103 5 7.119495043447369 81.4541396194976
104 2 44.09705167509683 69.94800553109141
104 3 44.99803117264692 71.4443678167156
104 4 38.399031253306184 93.79477563939348
104 5 11.594234856880288 81.44832794375077
105 2 42.566083603308314 69.85245218861655
105 3 44.65811769251108 70.27181700314345
105 4 40.242336300969306 94.92916357301736
105 5 16.178714228782766 81.45072300029413
106 2 41.01020760743212 69.8537954069626
106 3 42.86120027434 69.85539911431626
106 4 42.154853767345315 93.17825016549557
106 5 20.839725884433122 81.45469465158078
107 2 39.44357962202838 69.8555352292357
107 3 41.24059828410307 69.8537260405037
107 4 42.75316012069037 90.54704689488302
107 5 25.56870594382203 81.33683799751279
108 2 37.86945057131451 69.85775418236845
108 3 39.67362354132547 69.85521169907211
108 4 43.35998731286573 87.89591760394262
108 5 29.94164079469183 82.06920078957309
109 2 36.290088855272415 69.86060649931014
109 3 38.10276199572226 69.85765960437652
109 4 43.9457771069898 85.22723246153886
109 5 32.946238982777956 85.66553375254801
110 2 34.70707554698001 69.86344172371209
110 3 36.525408170843455 69.86014862564241
110 4 44.58564669220525 82.46892009740178
110 5 35.70480930192689 89.57679685830547
111 2 33.12876940709905 69.97260235426982
111 3 34.9465742218477 69.86122594963298
111 4 45.045422696948194 79.82971201601336
111 5 38.19944431424408 93.56857432327564
112 2 31.56008590972824 70.21525958402717
112 3 33.3585530341488 69.93445861545818
112 4 45.04110090505712 77.07696937107355
112 5 41.562089744702426 94.22551842573345
113 2 29.989688744795732 70.4544665261777
113 3 31.78356791615765 70.17753106025232
113 4 45.01083738263487 74.32416637952721
113 5 42.95870452324239 89.72311686017659
113 6 1.1436708933968303 92.67663636804997
114 2 28.400624968077338 70.47323561827902
114 3 30.218191894967834 70.45799793382545
114 4 44.986992846073065 71.6614727011161
114 5 44.02374158784159 84.95035440898648
114 6 1.5392265301326542 92.69241020597299
115 2 26.859807849685147 70.49992850055753
115 3 28.669096929604844 70.47095386347544
115 4 43.81562051479134 69.89495391570694
115 5 45.06517797434756 80.25795877870151
115 6 2.1039802638079292 92.71495947246352
116 2 25.508748583880514 71.30347142163932
116 3 27.16923334872209 70.48599615703243
116 4 41.11388490053182 69.85531437624648
116 5 45.061892162613155 75.41682827537893
116 6 2.786778849863546 92.74225215883177
117 2 24.191884168776525 72.18071313639112
117 3 25.697154086573086 71.17441606112737
117 4 38.38879005702967 69.85696117882573
117 5 44.91432673523103 70.79296103837048
117 6 3.551937683180704 92.7727753707857
118 2 23.16488358058816 73.2778259568335
118 3 24.381365866505575 71.96338326781306
118 4 35.65222653183267 69.86168898114335
118 5 40.79755223474858 69.85783131378841
118 6 4.374555828921776 92.80558957313477
119 2 21.824522650919928 73.93708825919427
119 3 23.471760140644182 73.02453617734488
119 4 32.91752074506254 70.0052753559581
119 5 36.04769599524002 69.86532892232394
119 6 5.237258948544776 92.8400779768156
120 2 20.26746297614267 74.03056098620408
120 3 22.141000293650805 73.86350539091876
120 4 30.19972186464509 70.42587038016417
120 5 31.91690347547472 70.15349276732344
120 6 6.127933360842404 92.87561032830135
121 2 18.694520658210298 74.017714669628
121 3 20.50734323997015 74.01534910559923
121 4 27.543672941801308 70.51372860838015
121 5 29.297495154793005 70.48687801818303
121 6 7.038120073365909 92.91193635746559
122 2 17.20576002507739 73.66031463296576
122 3 18.98434676533049 74.0068499451908
122 4 25.178176218533434 71.50468181386658
122 5 26.74940750200109 70.53027005281032
122 6 7.9619171492568785 92.9488888591279
123 2 16.104617667302197 72.68528023170794
123 3 17.56685680677762 73.8029454194815
123 4 23.193513948442693 73.24108815758231
123 5 24.445504545786264 71.92818817615402
123 6 8.895216313229772 92.98611672295169
124 2 15.51213564176106 71.27264345096722
124 3 16.357360356992846 72.95190384405917
124 4 20.755802537061903 74.01780150512472
124 5 22.651253581314258 73.615219552666
124 6 9.835137825576533 93.02371275959035
125 2 15.467234013582805 69.70214877232243
125 3 15.56585548920179 71.60958480326512
125 4 18.13561547816689 73.97902243474161
125 5 19.969486963226874 74.02857889129595
125 6 10.779680648421163 93.06153919217955
126 2 15.479937054901368 68.12574216587693
126 3 15.465976440434677 69.94378814808908
126 4 16.038155211236 72.60079395883557
126 5 17.466086449143532 73.75667869982558
126 6 11.727450447646952 93.09945644979479
127 2 15.75927540937601 66.64917387495571
127 3 15.47316262760907 68.43265245887103
127 4 15.464811397815872 70.24777617123661
127 5 15.74705813913813 72.05916115702264
127 6 12.677460642302597 93.1377109355025
128 2 16.761038874019697 65.43995073066387
128 3 15.613146647665214 66.96315769862134
128 4 15.475816412064242 68.73177436949439
128 5 15.473668112643901 70.27741908761294
128 6 13.62903832609784 93.17609044323578
129 2 17.85309109361027 64.29902872266207
129 3 16.594269020976427 65.60925324062543
129 4 15.53344999215772 67.21642420172681
129 5 15.481127157614392 68.83741700208236
129 6 14.581696783119332 93.21487302915722
130 2 18.948628405945982 63.156374769528206
130 3 17.695453185098838 64.45947418561097
130 4 16.419143963502403 65.79284594993318
130 5 15.528759001137576 67.32991597021169
130 6 15.535092408876473 93.25434456054477
131 2 20.070483968860295 62.510838005724885
131 3 18.59301826630013 63.38512243818536
131 4 17.460354194488136 64.72833191479577
131 5 16.33386047143831 65.87893611700402
131 6 16.488979008068384 93.29484108027808
132 2 20.44951578803512 61.08106119606303
132 3 19.59734122755087 62.847388903004315
132 4 18.28493103849728 63.84302968338924
132 5 17.2274543393584 64.90529742093621
132 6 17.44315858275867 93.33717326546643
133 2 20.5283845115624 59.5346063137283
133 3 20.45669595814021 61.40827147879348
133 4 19.232926501983176 62.944381763730114
133 5 18.087498613617324 64.05597860706857
133 6 18.397853752538122 93.37307040852859
134 2 20.424669601962297 57.978533818600326
134 3 20.524263792631444 59.81030640122623
134 4 20.372818630648606 61.86964449183137
134 5 18.998242984896873 63.01622470704671
134 6 19.35317059957101 93.39421145000743
135 2 20.05255339182235 56.46076032340585
135 3 20.45676114515794 58.25278580270196
135 4 20.520817458956877 60.135661656543114
135 5 20.3438091665598 62.01806205144989
135 6 20.308795221616844 93.4048227150978
135 7 1.884053962690198 93.44186610746752
136 2 19.345259529323013 55.06264339450337
136 3 20.15033718640616 56.73388031423706
136 4 20.472665091264847 58.58430069885737
136 5 20.490018615337487 60.2764037149759
136 6 21.17014099055345 93.48892547837963
136 7 3.584112126227184 93.42724504838505
137 2 18.38591164697662 53.8628989857122
137 3 19.493879366596737 55.31930230382649
137 4 20.235181405686998 57.0525713742822
137 5 20.4965557417218 58.711049004113555
137 6 21.599069466201588 93.79810622360608
137 7 6.0114510075012015 93.41666704197056
138 2 17.056058746021957 53.07175250991159
138 3 18.588345939496936 54.117892176000254
138 4 19.6816758712688 55.63812275213901
138 5 20.262500597791526 57.215744329301785
138 6 22.130420660006937 93.88920836392855
138 7 8.946174278709087 93.40855394085324
139 2 15.531517934360027 52.757799560211254
139 3 17.328330527214607 53.210301639540376
139 4 18.826460767900226 54.37245844764714
139 5 19.770830033361033 55.7947949441961
139 6 22.58735926659253 93.76152772101935
139 7 12.234887541711503 93.40401914581244
140 2 13.953314528414287 52.760729616842
140 3 15.789967212360878 52.76172430113926
140 4 17.60957414863793 53.37889666101981
140 5 18.94011033076135 54.506374070876355
140 6 22.898069011463377 93.46417074562561
140 7 15.770568514192027 93.40272982849648
141 2 12.371114925563777 52.765785619108634
141 3 14.173736625630776 52.76013292605333
141 4 16.08886246610793 52.78910733482051
141 5 17.717179486929233 53.441395104808066
141 6 23.128769666843272 92.90686181421746
141 7 19.478550107173678 93.40513486318073
142 2 10.786728378791237 52.77611792909678
142 3 12.600713168936975 52.76473989131371
142 4 14.44903543319982 52.75954680387751
142 5 16.17659390364614 52.81080259503467
142 6 23.059860085116213 92.14060671728221
142 7 22.20141602920647 93.88346424189415
143 2 9.26898959133333 52.90816350007586
143 3 11.068980298008459 52.77195072910457
143 4 12.903854937448363 52.7636940512298
143 5 14.54344395933666 52.75920882509715
143 6 22.876261923322993 91.33405778370677
143 7 23.146253808596796 92.81885890696898
144 2 8.08665158369072 53.80943384817151
144 3 9.622597311950383 52.83892806820601
144 4 11.4699221828052 52.77805634986682
144 5 13.094634925074658 52.76861249446233
144 6 22.684107042891554 90.48954471955723
144 7 22.998835709620234 91.83023491039138
145 2 7.5239115222994055 55.23106871675404
145 3 8.309258865612827 53.51490037808561
145 4 10.07092057472888 52.79094256532237
145 5 11.707073915316771 52.76969344793612
145 6 22.529083860574136 89.6124124283082
145 7 22.815257900010337 91.01533704440014
146 2 7.3032827367223465 56.7963640157433
146 3 7.565137345473252 54.977355421043825
146 4 8.611952569352207 53.30063881401567
146 5 10.28294527222418 52.79751173632673
146 6 22.521369021537883 88.70227742822173
146 7 22.533432588703896 90.2058346978166
147 2 7.083813923438348 58.365084138018354
147 3 7.330639948051543 56.57712188115237
147 4 7.627148221878573 54.682328295074015
147 5 8.727584957874198 53.19423518334031
147 6 22.487557164438794 87.81007907277295
147 7 22.527946620637312 89.3645434612784
148 2 6.864017278834998 59.93603093578124
148 3 7.110186905932424 58.14465248315003
148 4 7.3700236972431865 56.30895428713113
